Incident_ID,Incident_Type,Priority,Assigned_Department,Location,Reported_Time,Resolved_Time,Resolution_Time_Hours,Status,Resolution_Type
INC100000,Network Outage,Low,Security Team,Data Center B,2024-03-17 04:00:00,2024-03-17 22:00:00,18.0,Resolved,Reboot
INC100001,Database Failure,Low,Database Admin,Remote Site 1,2024-01-11 20:00:00,2024-01-12 00:00:00,4.0,Resolved,Reboot
INC100002,Server Crash,Medium,Database Admin,Remote Site 2,2024-01-10 01:00:00,2024-01-13 01:00:00,72.0,Closed,Patch Applied
INC100003,Database Failure,Critical,Network Team,Remote Site 1,2024-07-20 03:00:00,2024-07-21 15:00:00,36.0,Resolved,Reboot
INC100004,Server Crash,Critical,Security Team,Head Office,2024-02-23 01:00:00,2024-02-24 05:00:00,28.0,Resolved,Configuration Fix
INC100005,Network Outage,Low,DevOps,Data Center A,2024-05-02 12:00:00,2024-05-04 09:00:00,45.0,Resolved,Security Mitigation
INC100006,Security Breach,Low,DevOps,Remote Site 2,2024-02-12 14:00:00,2024-02-14 15:00:00,49.0,Resolved,Reboot
INC100007,Database Failure,High,Database Admin,Head Office,2024-07-16 01:00:00,2024-07-17 02:00:00,25.0,Resolved,Reboot
INC100008,Network Outage,Medium,Security Team,Data Center A,2024-10-18 22:00:00,2024-10-20 04:00:00,30.0,Resolved,Reboot
INC100009,Application Bug,High,DevOps,Head Office,2024-02-25 12:00:00,2024-02-27 12:00:00,48.0,Resolved,Configuration Fix
INC100010,Server Crash,High,IT Support,Remote Site 2,2024-08-04 17:00:00,2024-08-05 15:00:00,22.0,Resolved,Security Mitigation
INC100011,Server Crash,Medium,DevOps,Remote Site 1,2024-04-02 03:00:00,2024-04-05 03:00:00,72.0,Closed,Patch Applied
INC100012,Security Breach,Low,Network Team,Data Center A,2024-10-01 18:00:00,2024-10-03 11:00:00,41.0,Resolved,Hardware Replacement
INC100013,Security Breach,Low,Network Team,Remote Site 2,2024-10-26 03:00:00,2024-10-27 20:00:00,41.0,Resolved,Patch Applied
INC100014,Application Bug,Critical,DevOps,Data Center B,2024-03-31 09:00:00,2024-04-01 03:00:00,18.0,Resolved,Patch Applied
INC100015,Database Failure,High,Database Admin,Remote Site 1,2024-11-02 10:00:00,2024-11-04 14:00:00,52.0,Resolved,Configuration Fix
INC100016,Server Crash,Medium,Database Admin,Remote Site 1,2024-02-01 00:00:00,2024-02-01 07:00:00,7.0,Resolved,Reboot
INC100017,Server Crash,Medium,DevOps,Remote Site 2,2024-01-22 16:00:00,2024-01-24 18:00:00,50.0,Resolved,Hardware Replacement
INC100018,Database Failure,Critical,Database Admin,Head Office,2024-11-27 11:00:00,2024-11-30 10:00:00,71.0,Closed,Reboot
INC100019,Network Outage,High,Security Team,Data Center A,2024-04-10 04:00:00,2024-04-12 12:00:00,56.0,Resolved,Patch Applied
INC100020,Application Bug,Low,Security Team,Remote Site 2,2024-09-17 01:00:00,2024-09-18 00:00:00,23.0,Resolved,Security Mitigation
INC100021,Network Outage,High,Database Admin,Remote Site 2,2024-03-08 21:00:00,2024-03-09 17:00:00,20.0,Resolved,Configuration Fix
INC100022,Server Crash,Low,Database Admin,Head Office,2024-06-15 18:00:00,2024-06-15 21:00:00,3.0,Resolved,Reboot
INC100023,Security Breach,High,Network Team,Data Center A,2024-03-23 05:00:00,2024-03-23 16:00:00,11.0,Resolved,Reboot
INC100024,Application Bug,Low,Database Admin,Data Center B,2024-02-13 19:00:00,2024-02-16 08:00:00,61.0,Closed,Security Mitigation
INC100025,Server Crash,High,Database Admin,Remote Site 2,2024-05-24 10:00:00,2024-05-25 14:00:00,28.0,Resolved,Security Mitigation
INC100026,Server Crash,High,DevOps,Head Office,2024-05-29 12:00:00,2024-06-01 07:00:00,67.0,Closed,Hardware Replacement
INC100027,Network Outage,Medium,Network Team,Data Center A,2024-04-25 09:00:00,2024-04-25 12:00:00,3.0,Resolved,Security Mitigation
INC100028,Database Failure,Medium,Database Admin,Data Center B,2024-01-03 10:00:00,2024-01-03 20:00:00,10.0,Resolved,Reboot
INC100029,Server Crash,Low,IT Support,Head Office,2024-01-25 04:00:00,2024-01-27 22:00:00,66.0,Closed,Patch Applied
INC100030,Security Breach,Critical,Network Team,Remote Site 2,2024-02-15 03:00:00,2024-02-17 16:00:00,61.0,Closed,Patch Applied
INC100031,Application Bug,Critical,Network Team,Data Center A,2024-02-03 02:00:00,2024-02-05 10:00:00,56.0,Resolved,Configuration Fix
INC100032,Application Bug,Critical,DevOps,Data Center A,2024-08-17 20:00:00,2024-08-18 09:00:00,13.0,Resolved,Reboot
INC100033,Application Bug,High,IT Support,Data Center B,2024-03-06 09:00:00,2024-03-07 10:00:00,25.0,Resolved,Security Mitigation
INC100034,Application Bug,Medium,DevOps,Data Center B,2024-04-05 01:00:00,2024-04-07 13:00:00,60.0,Closed,Patch Applied
INC100035,Network Outage,Critical,Database Admin,Data Center A,2024-01-18 06:00:00,2024-01-21 04:00:00,70.0,Closed,Reboot
INC100036,Network Outage,Medium,Network Team,Remote Site 1,2024-06-14 18:00:00,2024-06-17 08:00:00,62.0,Closed,Patch Applied
INC100037,Application Bug,Low,Network Team,Remote Site 1,2024-01-01 17:00:00,2024-01-03 19:00:00,50.0,Resolved,Configuration Fix
INC100038,Application Bug,High,DevOps,Remote Site 2,2024-08-13 22:00:00,2024-08-16 13:00:00,63.0,Closed,Patch Applied
INC100039,Server Crash,High,Network Team,Data Center A,2024-07-16 16:00:00,2024-07-19 14:00:00,70.0,Closed,Reboot
INC100040,Security Breach,Low,IT Support,Remote Site 2,2024-06-11 17:00:00,2024-06-14 10:00:00,65.0,Closed,Security Mitigation
INC100041,Server Crash,Low,Database Admin,Data Center A,2024-10-17 14:00:00,2024-10-18 14:00:00,24.0,Resolved,Reboot
INC100042,Database Failure,Low,Network Team,Remote Site 1,2024-02-10 22:00:00,2024-02-12 06:00:00,32.0,Resolved,Security Mitigation
INC100043,Database Failure,Low,Database Admin,Data Center A,2024-05-23 02:00:00,2024-05-25 21:00:00,67.0,Closed,Configuration Fix
INC100044,Security Breach,Medium,Security Team,Data Center B,2024-03-31 15:00:00,2024-04-02 18:00:00,51.0,Resolved,Patch Applied
INC100045,Security Breach,Critical,Security Team,Data Center A,2024-01-04 04:00:00,2024-01-06 15:00:00,59.0,Resolved,Security Mitigation
INC100046,Database Failure,Low,IT Support,Remote Site 2,2024-03-13 18:00:00,2024-03-16 11:00:00,65.0,Closed,Configuration Fix
INC100047,Server Crash,High,IT Support,Data Center B,2024-05-06 03:00:00,2024-05-07 16:00:00,37.0,Resolved,Patch Applied
INC100048,Application Bug,High,Database Admin,Remote Site 2,2024-01-03 16:00:00,2024-01-06 15:00:00,71.0,Closed,Configuration Fix
INC100049,Network Outage,Medium,Security Team,Data Center A,2024-10-30 16:00:00,2024-10-31 06:00:00,14.0,Resolved,Security Mitigation
INC100050,Server Crash,High,Security Team,Remote Site 2,2024-03-12 21:00:00,2024-03-14 17:00:00,44.0,Resolved,Patch Applied
INC100051,Security Breach,Critical,Security Team,Data Center A,2024-02-01 12:00:00,2024-02-03 19:00:00,55.0,Resolved,Configuration Fix
INC100052,Network Outage,Low,Security Team,Data Center B,2024-08-05 11:00:00,2024-08-06 21:00:00,34.0,Resolved,Patch Applied
INC100053,Application Bug,Critical,Database Admin,Data Center A,2024-02-08 04:00:00,2024-02-08 14:00:00,10.0,Resolved,Patch Applied
INC100054,Database Failure,Low,Security Team,Remote Site 2,2024-07-07 14:00:00,2024-07-08 09:00:00,19.0,Resolved,Hardware Replacement
INC100055,Server Crash,Low,Security Team,Head Office,2024-11-02 20:00:00,2024-11-03 02:00:00,6.0,Resolved,Configuration Fix
INC100056,Server Crash,Medium,IT Support,Head Office,2024-09-23 06:00:00,2024-09-26 06:00:00,72.0,Closed,Hardware Replacement
